,Event,R,Rn,Ry
2767,MIN.UNC_H_BT_BYPASS,1.0,1.0,1.0
2768,MIN.UNC_H_BT_CYCLES_NE.LOCAL,0.9066878139043087,1.0,0.8930627082702212
2769,MIN.UNC_H_BT_CYCLES_NE.REMOTE,1.0,1.0,1.0
2770,MIN.UNC_H_BT_OCCUPANCY.LOCAL,0.774781919111816,0.7510373443983402,0.7782490154498637
2771,MIN.UNC_H_BT_OCCUPANCY.READS_LOCAL,0.9093312186095691,1.0,0.8960920933050591
2772,MIN.UNC_H_BT_OCCUPANCY.READS_REMOTE,0.887655300026434,0.7904564315352697,0.9018479248712511
2773,MIN.UNC_H_BT_OCCUPANCY.REMOTE,0.8456251652127941,0.8174273858921162,0.8497425022720387
2774,MIN.UNC_H_BT_OCCUPANCY.WRITES_LOCAL,0.8183980967486122,1.0,0.7918812481066344
2775,MIN.UNC_H_BT_OCCUPANCY.WRITES_REMOTE,0.978852762357917,0.9875518672199171,0.9775825507421994
2776,MIN.UNC_H_BT_TO_HT_NOT_ISSUED.INCOMING_BL_HAZARD,0.8884483214380121,0.9813278008298755,0.8748863980611936
2777,MIN.UNC_H_BT_TO_HT_NOT_ISSUED.INCOMING_SNP_HAZARD,0.9598202484800423,0.91701244813278,0.9660708876098152
2778,MIN.UNC_H_BT_TO_HT_NOT_ISSUED.RSPACKCFLT_HAZARD,0.9844039122389638,1.0,0.9821266282944562
2779,MIN.UNC_H_BT_TO_HT_NOT_ISSUED.WBMDATA_HAZARD,0.8892413428495902,0.9730290456431535,0.8770069675855802
2780,MIN.UNC_H_BYPASS_IMC.NOT_TAKEN,0.661908538197198,0.8112033195020747,0.6401090578612542
2781,MIN.UNC_H_BYPASS_IMC.TAKEN,0.8744382765001322,1.0,0.8561042108451984
2782,MIN.UNC_H_CLOCKTICKS,0.9783240814168649,0.9896265560165975,0.9766737352317479
2783,MIN.UNC_H_CONFLICT_CYCLES.ACKCNFLTS,0.9862542955326461,1.0,0.9842471978188427
2784,MIN.UNC_H_CONFLICT_CYCLES.CMP_FWDS,0.9817605075337034,0.983402489626556,0.9815207512874886
2785,MIN.UNC_H_CONFLICT_CYCLES.CONFLICT,0.9968279143536876,1.0,0.9963647379581945
2786,MIN.UNC_H_CONFLICT_CYCLES.LAST,0.9907480835315887,1.0,0.9893971523780672
2787,MIN.UNC_H_DIRECT2CORE_CYCLES_DISABLED,0.654771345492995,0.8112033195020747,0.6319297182671918
